"Set number";"Name";"Theme";"Pieces";"Dimensions";"Weight";"RRP";"Year"
"7285-1";"Police Dog Unit";"City";96;"19.1 x 14.1 x 6.1 cm (7.5 x 5.6 x 2.4 in)";"0.15Kg (0.33 lb)";"£8.99 / US$12.99 / €9.99";"2011"
"7286-1";"Prisoner Transport";"City";173;"26.2 x 19.1 x 6.1 cm (10.3 x 7.5 x 2.4 in)";"0.34Kg (0.75 lb)";"£13.99 / US$19.99 / €16.99";"2011"
"7287-1";"Police Boat";"City";172;"48 x 28.2 x 7.4 cm (18.9 x 11.1 x 2.9 in)";"0.76Kg (1.67 lb)";"£19.99 / US$39.99 / €19.99";"2011"
"7288-1";"Mobile Police Unit";"City";408;"54 x 28.2 x 5.9 cm (21.3 x 11.1 x 2.3 in)";"0.85Kg (1.87 lb)";"£41.99 / US$44.99 / €39.99";"2011"
"7498-1";"Police Station";"City";783;"58.2 x 37.8 x 8.7 cm (22.9 x 14.9 x 3.4 in)";"1.98Kg (4.36 lb)";"£71.99 / US$99.99 / €99.99";"2011"
"70000-1";"Razcal's Glider";"Legends Of Chima";109;"14.1 x 12.2 x 4.6 cm (5.6 x 4.8 x 1.8 in)";"0.11Kg (0.24 lb)";"£7.99 / US$11.99 / €9.99";"2013"
"70001-1";"Crawley's Claw Ripper";"Legends Of Chima";139;"26.2 x 14.1 x 4.8 cm (10.3 x 5.6 x 1.9 in)";"0.24Kg (0.53 lb)";"£12.99 / US$14.99 / €14.99";"2013"
"70002-1";"Lennox' Lion Attack";"Legends Of Chima";230;"26.2 x 19.1 x 6.1 cm (10.3 x 7.5 x 2.4 in)";"0.39Kg (0.86 lb)";"£17.99 / US$24.99 / €19.99";"2013"
"70003-1";"Eris' Eagle Interceptor";"Legends Of Chima";348;"28.2 x 26.2 x 6.4 cm (11.1 x 10.3 x 2.5 in)";"0.54Kg (1.19 lb)";"£29.99 / US$34.99 / €32.99";"2013"
"70004-1";"Wakz' Pack Tracker";"Legends Of Chima";297;"28.2 x 26.2 x 6.4 cm (11.1 x 10.3 x 2.5 in)";"0.58Kg (1.28 lb)";"£29.99 / US$29.99 / €32.99";"2013"
"70005-1";"Laval's Royal Fighter";"Legends Of Chima";417;"38.2 x 26.2 x 7.1 cm (15 x 10.3 x 2.8 in)";"0.75Kg (1.65 lb)";"£39.99 / US$39.99 / €39.99";"2013"
"70006-1";"Cragger's Command Ship";"Legends Of Chima";609;"48 x 37.8 x 7.1 cm (18.9 x 14.9 x 2.8 in)";"1.38Kg (3.04 lb)";"£69.99 / US$79.99 / €79.99";"2013"
"70007-1";"Eglor's Twin Bike";"Legends Of Chima";223;"26.2 x 19.1 x 6.1 cm (10.3 x 7.5 x 2.4 in)";"0.35Kg (0.77 lb)";"£19.99 / US$24.99 / €19.99";"2013"
"70008-1";"Gorzan's Gorilla Striker";"Legends Of Chima";505;"48 x 28.2 x 6.1 cm (18.9 x 11.1 x 2.4 in)";"0.91Kg (2 lb)";"£49.99 / US$49.99 / €49.99";"2013"
"70009-1";"Worriz's Combat Lair";"Legends Of Chima";664;"54 x 28.2 x 7.8 cm (21.3 x 11.1 x 3.1 in)";"1.29Kg (2.84 lb)";"£59.99 / US$69.99 / €69.99";"2013"
"70123-1";"Lion Legend Beast";"Legends Of Chima";120;"12.2 x 14.1 x 4.6 cm (4.8 x 5.6 x 1.8 in)";"0.11Kg (0.24 lb)";"£7.99 / US$9.99 / €9.99";"2014"
"70124-1";"Eagle Legend Beast";"Legends Of Chima";104;"12.2 x 14.1 x 4.6 cm (4.8 x 5.6 x 1.8 in)";"0.1Kg (0.22 lb)";"£7.99 / US$9.99 / €9.99";"2014"
"70125-1";"Gorilla Legend Beast";"Legends Of Chima";106;"12.2 x 14.1 x 4.6 cm (4.8 x 5.6 x 1.8 in)";"0.11Kg (0.24 lb)";"£7.99 / US$9.99 / €9.99";"2014"
"70126-1";"Crocodile Legend Beast";"Legends Of Chima";121;"12.2 x 14.1 x 4.6 cm (4.8 x 5.6 x 1.8 in)";"0.1Kg (0.22 lb)";"£7.99 / US$9.99 / €9.99";"2014"
"70127-1";"Wolf Legend Beast";"Legends Of Chima";110;"12.2 x 14.1 x 4.6 cm (4.8 x 5.6 x 1.8 in)";"0.11Kg (0.24 lb)";"£7.99 / US$9.99 / €9.99";"2014"
"70128-1";"Braptor's Wing Striker";"Legends Of Chima";146;"26.2 x 14.1 x 4.8 cm (10.3 x 5.6 x 1.9 in)";"0.2Kg (0.44 lb)";"£12.99 / US$14.99 / €14.99";"2014"
"70129-1";"Lavertus' Twin Blade";"Legends Of Chima";183;"26.2 x 19.1 x 4.6 cm (10.3 x 7.5 x 1.8 in)";"0.28Kg (0.62 lb)";"£17.99 / US$19.99 / €19.99";"2014"
"70130-1";"Sparratus' Spider Stalker";"Legends Of Chima";292;"26.2 x 19.1 x 6.1 cm (10.3 x 7.5 x 2.4 in)";"0.35Kg (0.77 lb)";"£17.99 / US$24.99 / €24.99";"2014"
"70131-1";"Rogon's Rock Flinger";"Legends Of Chima";257;"22.2 x 26.2 x 7.6 cm (8.7 x 10.3 x 3 in)";"0.45Kg (0.99 lb)";"£24.99 / US$29.99 / €32.99";"2014"
"70132-1";"Scorm's Scorpion Stinger";"Legends Of Chima";434;"38.2 x 26.2 x 5.6 cm (15 x 10.3 x 2.2 in)";"0.61Kg (1.34 lb)";"£34.99 / US$39.99 / €39.99";"2014"
"70200-1";"CHI Laval";"Legends Of Chima";55;"19.5 x 28 x 7.5 cm (7.7 x 11 x 3 in)";"0.14Kg (0.31 lb)";"£10.99 / US$14.99 / €14.99";"2013"
"70201-1";"CHI Eris";"Legends Of Chima";67;"19.5 x 28 x 7.5 cm (7.7 x 11 x 3 in)";"0.15Kg (0.33 lb)";"£10.99 / US$14.99 / €14.99";"2013"
"70202-1";"CHI Gorzan";"Legends Of Chima";59;"19.5 x 28 x 7.5 cm (7.7 x 11 x 3 in)";"0.15Kg (0.33 lb)";"£10.99 / US$14.99 / €14.99";"2013"
"70203-1";"CHI Cragger";"Legends Of Chima";65;"19.5 x 28 x 7.5 cm (7.7 x 11 x 3 in)";"0.13Kg (0.29 lb)";"£10.99 / US$14.99 / €14.99";"2013"
"70204-1";"CHI Worriz";"Legends Of Chima";55;"19.5 x 28 x 7.5 cm (7.7 x 11 x 3 in)";"0.14Kg (0.31 lb)";"£10.99 / US$14.99 / €14.99";"2013"
"70205-1";"CHI Razar";"Legends Of Chima";68;"19.5 x 28 x 7.5 cm (7.7 x 11 x 3 in)";"0.15Kg (0.33 lb)";"£10.99 / US$14.99 / €14.99";"2013"
"75002-1";"AT-RT";"Star Wars";222;"19.1 x 26.2 x 4.6 cm (7.5 x 10.3 x 1.8 in)";"0.28Kg (0.62 lb)";"£19.99 / US$19.99 / €26.99";"2013"
"75003-1";"A-wing Starfighter";"Star Wars";177;"26.2 x 19.1 x 6.1 cm (10.3 x 7.5 x 2.4 in)";"0.34Kg (0.75 lb)";"£24.99 / US$24.99 / €29.99";"2013"
"75004-1";"Z-95 Headhunter";"Star Wars";373;"38.2 x 26.2 x 5.6 cm (15 x 10.3 x 2.2 in)";"0.64Kg (1.41 lb)";"£39.99 / US$49.99 / €49.99";"2013"
"75005-1";"Rancor Pit";"Star Wars";380;"48 x 28.2 x 7.4 cm (18.9 x 11.1 x 2.9 in)";"1.04Kg (2.29 lb)";"£59.99 / US$59.99 / €69.99";"2013"
"75015-1";"Corporate Alliance Tank Droid";"Star Wars";271;"26.2 x 14.1 x 6.1 cm (10.3 x 5.6 x 2.4 in)";"0.27Kg (0.59 lb)";"£19.99 / US$19.99 / €26.99";"2013"
"75016-1";"Homing Spider Droid";"Star Wars";295;"35.4 x 19.1 x 5.9 cm (13.9 x 7.5 x 2.3 in)";"0.39Kg (0.86 lb)";"£29.99 / US$29.99 / €39.99";"2013"
"75017-1";"Duel on Geonosis";"Star Wars";391;"38.2 x 26.2 x 5.6 cm (15 x 10.3 x 2.2 in)";"0.6Kg (1.32 lb)";"£39.99 / US$39.99 / €49.99";"2013"
"75018-1";"JEK-14's Stealth Starfighter";"Star Wars";550;"48 x 28.2 x 6.1 cm (18.9 x 11.1 x 2.4 in)";"0.93Kg (2.05 lb)";"£59.99 / US$69.99 / €69.99";"2013"
"75019-1";"AT-TE ";"Star Wars";794;"54 x 28.2 x 7.8 cm (21.3 x 11.1 x 3.1 in)";"0.99Kg (2.18 lb)";"£79.99 / US$89.99 / €99.99";"2013"
"75022-1";"Mandalorian Speeder";"Star Wars";211;"26.2 x 19.1 x 6.1 cm (10.3 x 7.5 x 2.4 in)";"0.33Kg (0.73 lb)";"£24.99 / US$24.99 / €29.99";"2013"
"75037-1";"Battle on Saleucami";"Star Wars";183;"26.2 x 14.1 x 4.8 cm (10.3 x 5.6 x 1.9 in)";"0.17Kg (0.37 lb)";"£14.99 / US$14.99 / €19.99";"2014"
"75038-1";"Jedi Interceptor";"Star Wars";223;"26.2 x 19.1 x 6.1 cm (10.3 x 7.5 x 2.4 in)";"0.34Kg (0.75 lb)";"£19.99 / US$24.99 / €29.99";"2014"
"75039-1";"V-Wing Starfighter";"Star Wars";201;"26.2 x 19.1 x 6.1 cm (10.3 x 7.5 x 2.4 in)";"0.35Kg (0.77 lb)";"£19.99 / US$24.99 / €29.99";"2014"
"75040-1";"General Grievous' Wheel Bike";"Star Wars";261;"26.2 x 19.1 x 4.6 cm (10.3 x 7.5 x 1.8 in)";"0.3Kg (0.66 lb)";"£19.99 / US$24.99 / €29.99";"2014"
"75041-1";"Vulture Droid";"Star Wars";205;"26.2 x 19.1 x 4.6 cm (10.3 x 7.5 x 1.8 in)";"0.32Kg (0.7 lb)";"£19.99 / US$24.99 / €29.99";"2014"
"75042-1";"Droid Gunship";"Star Wars";439;"38.2 x 26.2 x 7.1 cm (15 x 10.3 x 2.8 in)";"0.76Kg (1.67 lb)";"£44.99 / US$49.99 / €49.99";"2014"
"75043-1";"AT-AP";"Star Wars";717;"48 x 28.2 x 6.1 cm (18.9 x 11.1 x 2.4 in)";"0.9Kg (1.98 lb)";"£59.99 / US$59.99 / €69.99";"2014"
"7915-1";"Imperial V-wing Starfighter";"Star Wars";139;"28.2 x 26.2 x 4.6 cm (11.1 x 10.3 x 1.8 in)";"0.33Kg (0.73 lb)";"£24.99 / US$19.99 / €26.99";"2011"
"7929-1";"The Battle of Naboo";"Star Wars";241;"28.2 x 26.2 x 4.6 cm (11.1 x 10.3 x 1.8 in)";"0.34Kg (0.75 lb)";"£25.99 / US$24.99 / €29.99";"2011"
"7930-1";"Bounty Hunter Assault Gunship";"Star Wars";389;"48 x 28.2 x 6.1 cm (18.9 x 11.1 x 2.4 in)";"0.74Kg (1.63 lb)";"£40.99 / US$49.99 / €49.99";"2011"
"7931-1";"T-6 Jedi Shuttle";"Star Wars";389;"35.4 x 37.8 x 7.1 cm (13.9 x 14.9 x 2.8 in)";"0.92Kg (2.03 lb)";"£49.99 / US$59.99 / €69.99";"2011"
"7956-1";"Ewok Attack";"Star Wars";166;"28.2 x 26.2 x 4.6 cm (11.1 x 10.3 x 1.8 in)";"0.32Kg (0.7 lb)";"£25.99 / US$24.99 / €29.99";"2011"
"7957-1";"Sith Nightspeeder";"Star Wars";213;"28.2 x 26.2 x 4.6 cm (11.1 x 10.3 x 1.8 in)";"0.32Kg (0.7 lb)";"£25.99 / US$24.99 / €29.99";"2011"
"7959-1";"Geonosian Starfighter";"Star Wars";155;"35.4 x 19.1 x 5.9 cm (13.9 x 7.5 x 2.3 in)";"0.37Kg (0.81 lb)";"£29.99 / US$29.99 / €39.99";"2011"
"7961-1";"Darth Maul's Sith Infiltrator";"Star Wars";479;"54 x 28.2 x 5.9 cm (21.3 x 11.1 x 2.3 in)";"1Kg (2.2 lb)";"£59.99 / US$69.99 / €69.99";"2011"
"7962-1";"Anakin Skywalker and Sebulba's Podracers";"Star Wars";810;"48 x 37.8 x 7.1 cm (18.9 x 14.9 x 2.8 in)";"1.15Kg (2.53 lb)";"£81.99 / US$89.99 / €99.99";"2011"
"8085-1";"Freeco Speeder";"Star Wars";177;"28.2 x 26.2 x 6.4 cm (11.1 x 10.3 x 2.5 in)";"0.36Kg (0.79 lb)";"£21.99 / US$24.99 / €26.99";"2010"
"8086-1";"Droid Tri-Fighter";"Star Wars";268;"28.2 x 26.2 x 6.4 cm (11.1 x 10.3 x 2.5 in)";"0.38Kg (0.84 lb)";"£25.99 / US$24.99 / €26.99";"2010"
"8088-1";"ARC-170 Starfighter";"Star Wars";396;"54 x 28.2 x 5.9 cm (21.3 x 11.1 x 2.3 in)";"0.92Kg (2.03 lb)";"£49.99 / US$59.99 / €69.99";"2010"
"8089-1";"Hoth Wampa Cave";"Star Wars";297;"38.2 x 26.2 x 5.6 cm (15 x 10.3 x 2.2 in)";"0.59Kg (1.3 lb)";"£35.99 / US$39.99 / €49.99";"2010"
"8093-1";"Plo Koon's Jedi Starfighter";"Star Wars";175;"28.2 x 26.2 x 6.4 cm (11.1 x 10.3 x 2.5 in)";"0.3Kg (0.66 lb)";"£25.99 / US$24.99 / €26.99";"2010"
"8095-1";"General Grievous' Starfighter";"Star Wars";454;"48 x 28.2 x 6.1 cm (18.9 x 11.1 x 2.4 in)";"0.78Kg (1.72 lb)";"£45.99 / US$49.99 / €49.99";"2010"
"8096-1";"Emperor Palpatine's Shuttle";"Star Wars";592;"54 x 28.2 x 5.9 cm (21.3 x 11.1 x 2.3 in)";"1.1Kg (2.42 lb)";"£61.99 / US$59.99 / €69.99";"2010"
"8097-1";"Slave I";"Star Wars";573;"48 x 37.8 x 7.1 cm (18.9 x 14.9 x 2.8 in)";"1.06Kg (2.33 lb)";"£81.99 / US$79.99 / €89.99";"2010"
"9490-1";"Droid Escape";"Star Wars";137;"26.2 x 19.1 x 4.6 cm (10.3 x 7.5 x 1.8 in)";"0.25Kg (0.55 lb)";"£19.99 / US$19.99 / €26.99";"2012"
"9491-1";"Geonosian Cannon";"Star Wars";132;"26.2 x 19.1 x 4.6 cm (10.3 x 7.5 x 1.8 in)";"0.26Kg (0.57 lb)";"£19.99 / US$19.99 / €26.99";"2012"
"9492-1";"TIE Fighter";"Star Wars";413;"35.4 x 37.8 x 7.1 cm (13.9 x 14.9 x 2.8 in)";"0.78Kg (1.72 lb)";"£49.99 / US$54.99 / €49.99";"2012"
"9493-1";"X-wing Starfighter";"Star Wars";560;"48 x 28.2 x 7.4 cm (18.9 x 11.1 x 2.9 in)";"0.9Kg (1.98 lb)";"£49.99 / US$59.99 / €69.99";"2012"
"9496-1";"Desert Skiff";"Star Wars";213;"35.4 x 19.1 x 5.9 cm (13.9 x 7.5 x 2.3 in)";"0.44Kg (0.97 lb)";"£24.99 / US$24.99 / €29.99";"2012"
"9497-1";"Republic Striker-class Starfighter";"Star Wars";376;"38.2 x 26.2 x 5.6 cm (15 x 10.3 x 2.2 in)";"0.59Kg (1.3 lb)";"£39.99 / US$44.99 / €49.99";"2012"
"9498-1";"Saesee Tiin's Jedi Starfighter";"Star Wars";244;"28.2 x 26.2 x 6.4 cm (11.1 x 10.3 x 2.5 in)";"0.48Kg (1.06 lb)";"£29.99 / US$29.99 / €39.99";"2012"
"9499-1";"Gungan Sub";"Star Wars";465;"35.4 x 37.8 x 7.1 cm (13.9 x 14.9 x 2.8 in)";"0.91Kg (2 lb)";"£54.99 / US$69.99 / €69.99";"2012"
"9500-1";"Sith Fury-class Interceptor";"Star Wars";741;"48 x 37.8 x 7.1 cm (18.9 x 14.9 x 2.8 in)";"1.18Kg (2.6 lb)";"£79.99 / US$89.99 / €99.99";"2012"
